Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Oklahoma City Thunder,Aaron Wiggins,21,SG,24,"6' 5""",190 lbs,Maryland,"$1,836,096"
Oklahoma City Thunder,Jalen Williams,8,F,22,"6' 6""",218 lbs,Santa Clara,"$4,558,680"
Oklahoma City Thunder,Jaylin Williams,6,F,21,"6' 10""",245 lbs,Arkansas,"$2,000,000"
Oklahoma City Thunder,Kenrich Williams,34,SF,28,"6' 6""",210 lbs,TCU,"$6,175,000"
Oklahoma City Thunder,KJ Williams,12,F,24,"6' 10""",250 lbs,LSU,--
Orlando Magic,Cole Anthony,50,PG,23,"6' 3""",185 lbs,North Carolina,"$5,539,771"
Orlando Magic,Paolo Banchero,5,PF,20,"6' 10""",250 lbs,Duke,"$11,608,080"
Orlando Magic,Goga Bitadze,88,C,24,"6' 11""",250 lbs,--,"$2,062,585"
Orlando Magic,Anthony Black,NA,G,19,"6' 7""",200 lbs,Arkansas,"$7,245,480"
Orlando Magic,Wendell Carter Jr.,34,C,24,"6' 10""",270 lbs,Duke,"$13,050,000"
Orlando Magic,Michael Carter-Williams,11,G,31,"6' 5""",190 lbs,Syracuse,--
Orlando Magic,Markelle Fultz,20,PG,25,"6' 4""",209 lbs,Washington,"$17,000,000"
Orlando Magic,Gary Harris,14,SG,29,"6' 4""",210 lbs,Michigan State,"$13,000,000"
Orlando Magic,Kevon Harris,7,G,26,"6' 6""",220 lbs,Stephen F. Austin,--
Orlando Magic,Caleb Houstan,2,G,20,"6' 8""",210 lbs,Michigan,"$2,000,000"
Orlando Magic,Jett Howard,NA,G,20,"6' 8""",215 lbs,Michigan,"$5,026,800"
Orlando Magic,Joe Ingles,NA,SG,35,"6' 8""",220 lbs,--,"$11,000,000"
Orlando Magic,Jonathan Isaac,1,PF,25,"6' 10""",230 lbs,Florida State,"$17,400,000"
Orlando Magic,Mac McClung,9,SG,24,"6' 2""",185 lbs,Texas Tech,--
Orlando Magic,Chuma Okeke,3,PF,25,"6' 8""",229 lbs,Auburn,"$5,266,713"
Orlando Magic,Miye Oni,NA,SG,26,"6' 5""",206 lbs,Yale,--
Orlando Magic,Trevelin Queen,12,SG,26,"6' 6""",190 lbs,New Mexico State,--
Orlando Magic,Admiral Schofield,25,SF,26,"6' 5""",241 lbs,Tennessee,--
Orlando Magic,Jalen Suggs,4,SG,22,"6' 5""",205 lbs,Gonzaga,"$7,252,080"
Orlando Magic,Franz Wagner,22,SF,22,"6' 10""",220 lbs,Michigan,"$5,508,720"
Orlando Magic,Moritz Wagner,21,C,26,"6' 11""",245 lbs,Michigan,"$8,000,000"
Orlando Magic,Brandon Williams,11,G,23,"6' 2""",190 lbs,Arizona,--
Philadelphia 76ers,Marcus Bagley,38,F,21,"6' 8""",215 lbs,Arizona State,--
Philadelphia 76ers,Mo Bamba,NA,C,25,"7' 0""",231 lbs,Texas,"$2,019,706"
Philadelphia 76ers,Patrick Beverley,21,PG,35,"6' 2""",180 lbs,Arkansas,"$2,019,706"
Philadelphia 76ers,Ricky Council IV,37,G,22,"6' 6""",205 lbs,Arkansas,--
Philadelphia 76ers,Dewayne Dedmon,14,C,34,"6' 10""",245 lbs,USC,--
Philadelphia 76ers,David Duke Jr.,NA,G,23,"6' 4""",207 lbs,Providence,--
Philadelphia 76ers,Joel Embiid,21,C,29,"7' 0""",280 lbs,Kansas,"$46,900,000"
Philadelphia 76ers,Danny Green,NA,F,36,"6' 6""",215 lbs,North Carolina,--
Philadelphia 76ers,James Harden,1,SG,34,"6' 5""",220 lbs,Arizona State,"$35,640,000"
Philadelphia 76ers,Montrezl Harrell,5,C,29,"6' 7""",240 lbs,Louisville,"$2,019,760"
Philadelphia 76ers,Tobias Harris,12,PF,31,"6' 7""",226 lbs,Tennessee,"$39,270,150"
Philadelphia 76ers,Danuel House Jr.,25,SF,30,"6' 6""",220 lbs,Texas A&M,"$4,310,250"
Philadelphia 76ers,Louis King,23,SF,24,"6' 7""",205 lbs,Oregon,--
Philadelphia 76ers,Furkan Korkmaz,30,SG,26,"6' 7""",202 lbs,--,"$5,370,370"
Philadelphia 76ers,Tyrese Maxey,0,PG,22,"6' 2""",200 lbs,Kentucky,"$4,343,920"
Philadelphia 76ers,De'Anthony Melton,8,SG,25,"6' 2""",200 lbs,USC,"$8,000,000"
Philadelphia 76ers,Filip Petrusev,NA,PF,23,"6' 11""",234 lbs,Gonzaga,"$1,119,563"
Philadelphia 76ers,Paul Reed,44,SF,24,"6' 9""",210 lbs,DePaul,"$7,723,000"
Philadelphia 76ers,Terquavion Smith,26,G,20,"6' 4""",165 lbs,NC State,--
Philadelphia 76ers,Jaden Springer,11,G,20,"6' 4""",205 lbs,Tennessee,"$2,226,240"
Philadelphia 76ers,Azuolas Tubelis,29,F,21,"6' 11""",245 lbs,Arizona,--
Philadelphia 76ers,P.J. Tucker,17,PF,38,"6' 5""",245 lbs,Texas,"$11,014,500"
Phoenix Suns,Deandre Ayton,22,C,25,"7' 0""",250 lbs,Arizona,"$32,459,438"
Phoenix Suns,Udoka Azubuike,NA,C,24,"6' 10""",280 lbs,Kansas,--
Phoenix Suns,Keita Bates-Diop,NA,SF,27,"6' 8""",229 lbs,Ohio State,"$2,364,614"
Phoenix Suns,Bradley Beal,NA,SG,30,"6' 4""",207 lbs,Florida,"$46,741,590"
Phoenix Suns,Bismack Biyombo,18,C,31,"6' 8""",255 lbs,--,--
Phoenix Suns,Bol Bol,NA,C,23,"7' 2""",220 lbs,Oregon,"$2,019,706"
Phoenix Suns,Devin Booker,1,SG,26,"6' 5""",206 lbs,Kentucky,"$36,016,200"
Phoenix Suns,Toumani Camara,NA,F,23,"6' 8""",220 lbs,Dayton,"$1,119,563"
Phoenix Suns,Kevin Durant,35,PF,34,"6' 10""",240 lbs,Texas,"$47,649,433"
Phoenix Suns,Drew Eubanks,NA,PF,26,"6' 10""",245 lbs,Oregon State,"$2,346,614"
Phoenix Suns,Jordan Goodwin,NA,G,24,"6' 3""",200 lbs,Saint Louis,"$1,927,896"
Phoenix Suns,Damion Lee,10,SG,30,"6' 5""",210 lbs,Louisville,"$2,528,233"
Phoenix Suns,Saben Lee,38,G,24,"6' 2""",183 lbs,Vanderbilt,--
Phoenix Suns,Chimezie Metu,7,PF,26,"6' 9""",225 lbs,USC,"$2,019,706"
Phoenix Suns,Josh Okogie,2,SF,25,"6' 4""",213 lbs,Georgia Tech,"$2,815,937"
Phoenix Suns,Terrence Ross,8,G,32,"6' 7""",206 lbs,Washington,--
Phoenix Suns,Ish Wainright,12,F,29,"6' 5""",250 lbs,Baylor,"$1,927,896"
Phoenix Suns,T.J. Warren,21,SF,30,"6' 8""",220 lbs,NC State,--
Phoenix Suns,Yuta Watanabe,NA,SF,28,"6' 8""",215 lbs,George Washington,"$2,346,614"
Portland Trail Blazers,Ibou Badji,41,C,20,"7' 1""",240 lbs,--,--
Portland Trail Blazers,Moses Brown,NA,C,23,"7' 2""",245 lbs,UCLA,--
Portland Trail Blazers,John Butler Jr.,21,F,20,"7' 0""",190 lbs,Florida State,--
Portland Trail Blazers,Jerami Grant,9,SF,29,"6' 8""",210 lbs,Syracuse,"$27,586,207"
Portland Trail Blazers,Scoot Henderson,0,G,19,"6' 2""",196 lbs,--,"$9,770,880"
Portland Trail Blazers,Keon Johnson,6,SG,21,"6' 3""",185 lbs,Tennessee,"$2,808,720"
Portland Trail Blazers,Kevin Knox II,11,SF,24,"6' 7""",215 lbs,Kentucky,--
Portland Trail Blazers,Damian Lillard,0,PG,33,"6' 2""",195 lbs,Weber State,"$45,640,084"
Portland Trail Blazers,Nassir Little,10,SF,23,"6' 5""",220 lbs,North Carolina,"$6,250,000"
Portland Trail Blazers,Skylar Mays,8,SG,26,"6' 4""",205 lbs,LSU,--
Portland Trail Blazers,Justin Minaya,15,F,24,"6' 7""",210 lbs,Providence,--
Portland Trail Blazers,Kris Murray,8,F,23,"6' 8""",215 lbs,Iowa,"$2,847,480"
Portland Trail Blazers,Jusuf Nurkic,27,C,29,"7' 0""",290 lbs,--,"$16,875,000"
Portland Trail Blazers,Shaedon Sharpe,17,SG,20,"6' 5""",200 lbs,Kentucky,"$6,313,800"
Portland Trail Blazers,Anfernee Simons,1,SG,24,"6' 3""",181 lbs,--,"$24,107,143"
Portland Trail Blazers,Matisse Thybulle,4,SG,26,"6' 5""",201 lbs,Washington,"$10,500,000"
Portland Trail Blazers,Jabari Walker,34,F,21,"6' 7""",200 lbs,Colorado,"$1,719,864"
Portland Trail Blazers,Jeenathan Williams,49,G,24,"6' 5""",205 lbs,Buffalo,"$1,719,864"
Portland Trail Blazers,Justise Winslow,26,PF,27,"6' 6""",222 lbs,Duke,--
Sacramento Kings,Harrison Barnes,40,SF,31,"6' 8""",225 lbs,North Carolina,"$17,000,000"
Sacramento Kings,Terence Davis,3,SG,26,"6' 4""",201 lbs,Ole Miss,--
Sacramento Kings,Matthew Dellavedova,8,PG,33,"6' 3""",200 lbs,Saint Mary's,--
Sacramento Kings,Chris Duarte,NA,SG,26,"6' 5""",190 lbs,Oregon,"$4,124,400"
Sacramento Kings,Kessler Edwards,17,SF,23,"6' 8""",215 lbs,Pepperdine,"$1,927,896"
Sacramento Kings,Keon Ellis,23,G,23,"6' 5""",175 lbs,Alabama,--
Sacramento Kings,Jordan Ford,1,G,25,"6' 1""",175 lbs,Saint Mary's,--
Sacramento Kings,De'Aaron Fox,5,PG,25,"6' 3""",185 lbs,Kentucky,"$32,600,060"
Sacramento Kings,Kevin Huerter,9,SG,25,"6' 7""",198 lbs,Maryland,"$15,669,643"
Sacramento Kings,Colby Jones,NA,G,21,"6' 6""",205 lbs,Xavier,"$2,019,706"
Sacramento Kings,Alex Len,25,C,30,"7' 1""",250 lbs,Maryland,"$2,019,760"
Sacramento Kings,Trey Lyles,41,PF,27,"6' 9""",234 lbs,Kentucky,"$8,000,000"
Sacramento Kings,JaVale McGee,00,C,35,"7' 0""",270 lbs,Nevada,"$5,734,280"
Sacramento Kings,Davion Mitchell,15,PG,25,"6' 0""",202 lbs,Baylor,"$5,063,760"
Sacramento Kings,Malik Monk,0,SG,25,"6' 3""",200 lbs,Kentucky,"$9,945,830"
Sacramento Kings,Keegan Murray,13,SF,23,"6' 8""",215 lbs,Iowa,"$8,409,000"
Sacramento Kings,Domantas Sabonis,10,PF,27,"7' 0""",240 lbs,Gonzaga,"$30,600,000"
Sacramento Kings,Jalen Slawson,NA,F,23,"6' 7""",218 lbs,Furman,--
Sacramento Kings,Sasha Vezenkov,NA,F,28,"6' 9""",225 lbs,--,"$6,341,464"
San Antonio Spurs,Dominick Barlow,26,F,20,"6' 10""",220 lbs,--,--
San Antonio Spurs,Charles Bassey,28,C,22,"6' 9""",230 lbs,Western Kentucky,"$2,600,000"
San Antonio Spurs,Khem Birch,99,C,30,"6' 8""",233 lbs,UNLV,"$6,985,000"
San Antonio Spurs,Malaki Branham,22,G,20,"6' 4""",180 lbs,Ohio State,"$3,071,880"
San Antonio Spurs,Reggie Bullock,25,SF,32,"6' 6""",205 lbs,North Carolina,"$11,014,080"
San Antonio Spurs,Julian Champagnie,30,F,22,"6' 9""",210 lbs,St. John's,"$3,000,000"
San Antonio Spurs,Sidy Cissoko,NA,G,19,"6' 7""",225 lbs,--,"$1,119,563"
San Antonio Spurs,Zach Collins,23,PF,25,"6' 11""",250 lbs,Gonzaga,"$7,700,000"
San Antonio Spurs,Gorgui Dieng,41,C,33,"6' 10""",265 lbs,Louisville,--
San Antonio Spurs,Devonte' Graham,4,PG,28,"6' 1""",195 lbs,Kansas,"$12,100,000"
San Antonio Spurs,Keldon Johnson,3,SF,23,"6' 5""",220 lbs,Kentucky,"$20,000,000"
San Antonio Spurs,Tre Jones,33,PG,23,"6' 1""",185 lbs,Duke,"$9,895,833"
San Antonio Spurs,Romeo Langford,35,SG,23,"6' 5""",216 lbs,Indiana,--
San Antonio Spurs,Sandro Mamukelashvili,54,PF,24,"6' 10""",240 lbs,Seton Hall,"$2,019,760"
San Antonio Spurs,Doug McDermott,17,SF,31,"6' 6""",225 lbs,Creighton,"$13,750,000"
San Antonio Spurs,Cedi Osman,16,SF,28,"6' 7""",230 lbs,--,"$6,718,842"
San Antonio Spurs,Jeremy Sochan,10,F,20,"6' 8""",230 lbs,Baylor,"$5,316,960"
San Antonio Spurs,Devin Vassell,24,SG,23,"6' 5""",200 lbs,Florida State,"$5,887,899"
San Antonio Spurs,Victor Wembanyama,NA,C,19,"7' 3""",225 lbs,--,"$12,160,680"
San Antonio Spurs,Blake Wesley,14,G,20,"6' 4""",190 lbs,Notre Dame,"$2,504,640"
Toronto Raptors,Precious Achiuwa,5,PF,24,"6' 8""",225 lbs,Memphis,"$4,379,527"
Toronto Raptors,O.G. Anunoby,3,SF,26,"6' 7""",232 lbs,Indiana,"$18,642,857"
Toronto Raptors,Scottie Barnes,4,SF,22,"6' 8""",225 lbs,Florida State,"$8,008,560"
Toronto Raptors,Will Barton,1,G,32,"6' 5""",181 lbs,Memphis,--
Toronto Raptors,Chris Boucher,25,PF,30,"6' 9""",200 lbs,Oregon,"$11,750,000"
Toronto Raptors,Gradey Dick,NA,G,19,"6' 8""",205 lbs,Kansas,"$4,536,720"
Toronto Raptors,Jeff Dowtin Jr.,20,PG,26,"6' 3""",177 lbs,Rhode Island,"$2,109,706"
Toronto Raptors,Malachi Flynn,22,PG,25,"6' 1""",175 lbs,San Diego State,"$3,873,025"
Toronto Raptors,Ron Harper Jr.,8,F,23,"6' 5""",245 lbs,Rutgers,--
Toronto Raptors,Christian Koloko,35,C,23,"7' 0""",230 lbs,Arizona,"$1,719,864"
Toronto Raptors,Jalen McDaniels,7,PF,25,"6' 9""",205 lbs,San Diego State,"$4,516,000"
Toronto Raptors,Markquis Nowell,NA,G,23,"5' 8""",160 lbs,Kansas State,--
Toronto Raptors,Jakob Poeltl,19,C,27,"7' 1""",245 lbs,Utah,"$19,500,000"
Toronto Raptors,Otto Porter Jr.,32,SF,30,"6' 8""",198 lbs,Georgetown,"$6,300,000"
Toronto Raptors,Dennis Schroder,NA,PG,30,"6' 1""",172 lbs,--,"$12,405,000"
Toronto Raptors,Pascal Siakam,43,PF,29,"6' 8""",230 lbs,New Mexico State,"$37,893,408"
Toronto Raptors,Gary Trent Jr.,33,SG,24,"6' 5""",209 lbs,Duke,"$18,560,000"
Toronto Raptors,Thaddeus Young,21,PF,35,"6' 8""",235 lbs,Georgia Tech,"$8,000,000"
Utah Jazz,Ochai Agbaji,30,G,23,"6' 5""",215 lbs,Kansas,"$4,114,200"
Utah Jazz,Jarrell Brantley,5,PF,27,"6' 5""",250 lbs,Charleston,--
Utah Jazz,Jordan Clarkson,00,PG,31,"6' 5""",194 lbs,Missouri,"$23,487,629"
Utah Jazz,John Collins,20,PF,25,"6' 9""",226 lbs,Wake Forest,"$25,340,000"
Utah Jazz,Kris Dunn,11,G,29,"6' 3""",205 lbs,Providence,"$2,586,665"
Utah Jazz,Simone Fontecchio,16,F,27,"6' 7""",209 lbs,--,"$3,044,872"
Utah Jazz,Keyonte George,NA,G,19,"6' 4""",185 lbs,Baylor,"$3,889,800"
Utah Jazz,Taylor Hendricks,NA,F,19,"6' 9""",210 lbs,UCF,"$5,569,920"
Utah Jazz,Talen Horton-Tucker,0,SG,22,"6' 4""",234 lbs,Iowa State,"$11,020,000"
Utah Jazz,Johnny Juzang,33,G,22,"6' 7""",215 lbs,UCLA,--
Utah Jazz,Walker Kessler,24,C,22,"7' 0""",245 lbs,Auburn,"$2,831,160"
Utah Jazz,Lauri Markkanen,23,PF,26,"7' 0""",240 lbs,Arizona,"$17,259,999"
Utah Jazz,Kelly Olynyk,41,PF,32,"6' 11""",240 lbs,Gonzaga,"$12,195,122"
Utah Jazz,Luka Samanic,91,F,23,"6' 10""",227 lbs,--,"$2,066,585"
Utah Jazz,Brice Sensabaugh,NA,F,19,"6' 6""",235 lbs,Ohio State,"$2,448,600"
Utah Jazz,Collin Sexton,2,PG,24,"6' 2""",190 lbs,Alabama,"$17,325,000"
Utah Jazz,Juan Toscano-Anderson,95,SF,30,"6' 6""",209 lbs,Marquette,--
Utah Jazz,Omer Yurtseven,77,C,25,"6' 11""",275 lbs,Georgetown,"$2,800,000"
Toronto Raptors,Precious Achiuwa,5,PF,24,"6' 8""",225 lbs,Memphis,"$4,379,527"
Toronto Raptors,O.G. Anunoby,3,SF,26,"6' 7""",232 lbs,Indiana,"$18,642,857"
Toronto Raptors,Scottie Barnes,4,SF,22,"6' 8""",225 lbs,Florida State,"$8,008,560"
Toronto Raptors,Will Barton,1,G,32,"6' 5""",181 lbs,Memphis,--
Toronto Raptors,Chris Boucher,25,PF,30,"6' 9""",200 lbs,Oregon,"$11,750,000"
Toronto Raptors,Gradey Dick,NA,G,19,"6' 8""",205 lbs,Kansas,"$4,536,720"
Toronto Raptors,Jeff Dowtin Jr.,20,PG,26,"6' 3""",177 lbs,Rhode Island,"$2,109,706"
Toronto Raptors,Malachi Flynn,22,PG,25,"6' 1""",175 lbs,San Diego State,"$3,873,025"
Toronto Raptors,Ron Harper Jr.,8,F,23,"6' 5""",245 lbs,Rutgers,--
Toronto Raptors,Christian Koloko,35,C,23,"7' 0""",230 lbs,Arizona,"$1,719,864"
Toronto Raptors,Jalen McDaniels,7,PF,25,"6' 9""",205 lbs,San Diego State,"$4,516,000"
Toronto Raptors,Markquis Nowell,NA,G,23,"5' 8""",160 lbs,Kansas State,--
Toronto Raptors,Jakob Poeltl,19,C,27,"7' 1""",245 lbs,Utah,"$19,500,000"
Toronto Raptors,Otto Porter Jr.,32,SF,30,"6' 8""",198 lbs,Georgetown,"$6,300,000"
Toronto Raptors,Dennis Schroder,NA,PG,30,"6' 1""",172 lbs,--,"$12,405,000"
Toronto Raptors,Pascal Siakam,43,PF,29,"6' 8""",230 lbs,New Mexico State,"$37,893,408"
Toronto Raptors,Gary Trent Jr.,33,SG,24,"6' 5""",209 lbs,Duke,"$18,560,000"
Toronto Raptors,Thaddeus Young,21,PF,35,"6' 8""",235 lbs,Georgia Tech,"$8,000,000"
Washington Wizards,Deni Avdija,9,SF,22,"6' 9""",210 lbs,--,"$6,263,188"
Washington Wizards,Patrick Baldwin Jr.,7,F,20,"6' 9""",220 lbs,Milwaukee,"$2,337,720"
Washington Wizards,Jared Butler,NA,SG,23,"6' 3""",193 lbs,Baylor,--
Washington Wizards,Xavier Cooks,12,G,28,"6' 8""",185 lbs,Winthrop,"$1,719,864"
Washington Wizards,Bilal Coulibaly,NA,SG,19,"6' 6""",195 lbs,--,"$6,614,280"
Washington Wizards,Johnny Davis,1,G,21,"6' 4""",195 lbs,Wisconsin,"$5,050,800"
Washington Wizards,Daniel Gafford,21,C,24,"6' 10""",234 lbs,Arkansas,"$12,402,000"
Washington Wizards,Danilo Gallinari,NA,PF,35,"6' 10""",236 lbs,--,"$6,802,950"
Washington Wizards,Taj Gibson,67,F,38,"6' 9""",232 lbs,USC,--
Washington Wizards,Anthony Gill,16,PF,30,"6' 8""",230 lbs,Virginia,"$1,997,239"
Washington Wizards,Tyus Jones,NA,PG,27,"6' 0""",196 lbs,Duke,"$14,000,000"
Washington Wizards,Corey Kispert,24,SF,24,"6' 6""",224 lbs,Gonzaga,"$3,722,040"
Washington Wizards,Kyle Kuzma,33,SF,28,"6' 9""",221 lbs,Utah,"$25,568,182"
Washington Wizards,Mike Muscala,NA,C,32,"6' 11""",240 lbs,Bucknell,"$3,500,000"
Washington Wizards,Kendrick Nunn,20,G,28,"6' 3""",190 lbs,Oakland,--
Washington Wizards,Eugene Omoruyi,NA,F,26,"6' 6""",235 lbs,Oregon,"$1,927,896"
Washington Wizards,Jordan Poole,3,SG,24,"6' 4""",194 lbs,Michigan,"$27,955,357"
Washington Wizards,Ryan Rollins,2,G,21,"6' 3""",180 lbs,Toledo,"$1,719,864"
Washington Wizards,Landry Shamet,NA,SG,26,"6' 4""",190 lbs,Wichita State,"$10,250,000"
Washington Wizards,Tristan Vukcevic,NA,PF,20,"7' 0""",225 lbs,--,--
Washington Wizards,Delon Wright,55,SG,31,"6' 5""",185 lbs,Utah,"$8,195,122"
